[10:40:47.673] INFO  [THUNK ] === Xbox Kernel Replacement Layer initializing ===
[10:40:47.673] INFO  [THUNK ] Kernel version: 1.0.5849.1 (emulated)
[10:40:47.673] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:40:47.673] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:40:47.673] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:40:47.673] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:40:47.673] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:40:47.673] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:40:47.673] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:40:47.673] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:40:47.673] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:40:47.673] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:40:47.673] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:40:47.673] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:40:47.673] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:40:47.673] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:40:47.673] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:40:47.673] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:40:47.673] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:40:47.673] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:40:47.673] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:40:47.673] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:40:47.673] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:40:47.673] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:40:47.673] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:40:47.673] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:40:47.673] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:40:47.673] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:40:47.673] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:40:47.673] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:40:47.673] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:40:47.673] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:40:47.673] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:40:47.673] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:40:47.673] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:40:47.673] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:40:47.673] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:40:47.673] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:40:47.673] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:40:47.673] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:40:47.673] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:40:47.673] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:40:47.673] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:40:47.673] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:40:47.673] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:40:47.673] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:40:47.673] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:40:47.673] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:40:47.673] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:40:47.673] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:40:47.673] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:40:47.673] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:40:47.673] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:40:47.673] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:40:47.673] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:40:47.673] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:40:47.673] ERROR [THUNK ] Unresolved kernel ordinal 0
